iter	Passed	Remaining
398	89031	67163
399	89246	66934
400	89469	66711
401	89679	66478
402	89894	66249
403	90119	66027
404	90330	65796
405	90558	65577
406	90785	65356
407	91008	65133
408	91222	64904
409	91435	64673
410	91652	64446
411	91864	64216
412	92078	63987
413	92293	63758
414	92506	63528
415	92721	63300
416	92939	63074
417	93157	62848
418	93371	62619
419	93584	62389
420	93795	62159
421	94007	61929
422	94226	61704
423	94442	61476
424	94655	61247
425	94869	61019
426	95084	60791
427	95303	60566
428	95526	60344
429	95740	60116
430	95956	59889
431	96179	59666
432	96392	59438
433	96607	59211
434	96816	58979
435	97030	58752
436	97246	58525
437	97457	58296
438	97673	58070
439	97887	57842
440	98105	57617
441	98322	57391
442	98537	57165
443	98758	56941
444	98987	56722
445	99234	56514
446	99457	56292
447	99682	56071
448	99905	55849
449	100201	55667
450	100439	55453
451	100656	55227
452	100874	55002
453	101088	54775
454	101308	54550
455	101527	54326
456	101744	54100
457	101960	53874
458	102178	53649
459	102398	53425
460	102612	53198
461	102823	52969
462	103042	52745
463	103261	52520
464	103477	52294
465	103691	52068
466	103915	51846
467	104139	51624
468	104375	51408
469	104594	51184
470	104806	50956
471	105024	50732
472	105239	50505
473	105455	50280
474	105685	50061
475	105899	49835
476	106120	49611
477	106331	49384
478	106552	49160
479	106773	48937
480	106991	48713
481	107205	48486
482	107426	48263
483	107644	48039
484	107862	47815
485	108082	47591
486	108298	47366
487	108513	47141
488	108735	46918
489	108955	46695
490	109182	46474
491	109410	46254
492	109638	46035
493	109869	45815
494	110088	45592
495	110311	45369
496	110531	45146
497	110751	44923
498	110969	44698
499	111186	44474
500	111403	44250
501	111620	44025
502	111842	43802
503	112065	43580
504	112285	43357
505	112503	43133
506	112721	42909
507	112940	42686
508	113159	42462
509	113384	42241
510	113601	42017
511	113829	41796
512	114048	41573
513	114268	41350
514	114500	41131
515	114724	40909
516	114952	40689
517	115177	40467
518	115399	40245
519	115620	40022
520	115844	39800
521	116063	39577
522	116281	39353
523	116509	39132
524	116727	38909
525	116949	38686
526	117168	38463
527	117392	38241
528	117613	38018
529	117840	37797
530	118062	37575
531	118289	37354
532	118515	37133
533	118750	36914
534	118975	36693
535	119197	36470
536	119419	36248
537	119642	36026
538	119868	35804
539	120116	35590
540	120376	35378
541	120627	35164
542	120874	34949
543	121106	34729
544	121330	34506
545	121555	34284
546	121776	34061
547	121998	33838
548	122216	33615
549	122442	33393
550	122714	33184
551	122934	32960
552	123156	32737
553	123374	32513
554	123596	32290
555	123815	32067
556	124034	31843
557	124258	31621
558	124482	31398
559	124704	31176
560	124926	30953
561	125148	30730
562	125374	30508
563	125590	30284
564	125813	30061
565	126034	29838
566	126249	29613
567	126468	29390
568	126685	29166
569	126898	28941
570	127115	28717
571	127327	28492
572	127544	28269
573	127756	28044
574	127968	27819
575	128182	27594
576	128393	27369
577	128612	27146
578	128823	26921
579	129034	26696
580	129242	26471
581	129464	26248
582	129680	26024
583	129894	25801
584	130106	25576
585	130318	25352
586	130533	25128
587	130746	24904
588	130959	24679
589	131173	24456
590	131391	24232
591	131612	24010
592	131829	23787
593	132046	23563
594	132266	23341
595	132475	23116
596	132692	22893
597	132910	22670
598	133118	22445
599	133331	22221
600	133548	21998
601	133770	21776
602	133985	21553
603	134207	21330
604	134429	21108
605	134646	20885
606	134861	20662
607	135077	20439
608	135291	20215
609	135505	19992
610	135719	19769
611	135936	19546
612	136148	19322
613	136365	19100
614	136583	18877
615	136795	18653
616	137014	18431
617	137232	18208
618	137446	17985
619	137672	17764
620	137897	17542
621	138114	17319
622	138333	17097
623	138547	16874
624	138763	16651
625	138978	16428
626	139193	16205
627	139406	15982
628	139631	15761
629	139850	15538
630	140073	15317
631	140286	15094
632	140502	14871
633	140719	14649
634	140933	14426
635	141150	14203
636	141363	13981
637	141580	13758
638	141792	13535
639	142003	13312
640	142217	13090
641	142428	12867
642	142641	12644
643	142860	12422
644	143088	12201
645	143301	11978
646	143517	11756
647	143734	11534
648	143941	11311
649	144159	11089
650	144374	10866
651	144586	10644
652	144797	10421
653	145015	10199
654	145226	9977
655	145443	9755
656	145659	9533
657	145873	9311
658	146089	9089
659	146303	8866
660	146516	8644
661	146730	8422
662	146945	8200
663	147158	7978
664	147372	7756
665	147587	7534
666	147799	7312
667	148010	7090
668	148233	6868
669	148447	6646
670	148668	6425
671	148885	6203
672	149105	5981
673	149316	5759
674	149524	5537
675	149738	5316
676	149955	5094
677	150170	4872
678	150386	4651
679	150597	4429
680	150810	4207
681	151023	3985
682	151235	3764
683	151449	3542
684	151664	3321
685	151890	3099
686	152107	2878
687	152318	2656
688	152534	2435
689	152744	2213
690	152958	1992
691	153175	1770
692	153392	1549
693	153604	1327
694	153815	1106
695	154030	885
696	154251	663
697	154470	442
698	154690	221
699	154903	0
