iter	Logloss
0	0.6126878618
1	0.5471416628
2	0.4916719116
3	0.4379636237
4	0.3961981287
5	0.3577978607
6	0.3209571826
7	0.2970040036
8	0.2701453493
9	0.2465496721
10	0.227589423
11	0.2105397994
12	0.1958073582
13	0.1828252128
14	0.1695375831
15	0.1621069325
16	0.1522522319
17	0.1428543392
18	0.1358488709
19	0.128722155
20	0.1221610697
21	0.1181088754
22	0.1126303216
23	0.1097837068
24	0.1070539528
25	0.1016059049
26	0.09758046001
27	0.09325289297
28	0.09021077433
29	0.0873431001
30	0.08542775368
31	0.08362340571
32	0.08221663432
33	0.07957120092
34	0.07719147597
35	0.0741659775
36	0.07199914943
37	0.07064197103
38	0.0686102756
39	0.06751433887
40	0.06701157041
41	0.06549808498
42	0.06458299401
43	0.06421575017
44	0.06325825038
45	0.06176727852
46	0.06150769569
47	0.06004379915
48	0.0589390695
49	0.05780434785
50	0.05683633076
51	0.05667503082
52	0.05575960641
53	0.05559308704
54	0.05483616104
55	0.05470457238
56	0.05349744073
57	0.05331073772
58	0.05318119325
59	0.05304538234
60	0.05290092184
61	0.05267139086
62	0.05254552989
63	0.05240731672
64	0.05229088665
65	0.05101929622
66	0.05085653458
67	0.05072915495
68	0.04967640963
69	0.04953811633
70	0.04862887828
71	0.04846167708
72	0.04837889677
73	0.04824655681
74	0.04813819586
75	0.04768704955
76	0.04755192263
77	0.04740715249
78	0.04729082386
79	0.04719384397
80	0.04654535427
81	0.04642755235
82	0.04631869064
83	0.04619482763
84	0.0461158808
85	0.04600477434
86	0.04539567968
87	0.04530900603
88	0.04423491204
89	0.04373586378
90	0.04344755603
91	0.04336216205
92	0.04329567126
93	0.04270761414
94	0.04198303103
95	0.04151256602
96	0.04144668807
97	0.04112815553
98	0.04101628199
99	0.04037787184
100	0.03986438655
101	0.03978599896
102	0.03965546377
103	0.03957928354
104	0.03949984036
105	0.03943865084
106	0.03881146539
107	0.03864770192
108	0.03852829966
109	0.03777853353
110	0.03766104561
111	0.0369059756
112	0.03677238868
113	0.03632110766
114	0.03580458519
115	0.03574047526
116	0.03566993151
117	0.03521051772
118	0.03511413165
119	0.03471688553
120	0.03465185001
121	0.034239448
122	0.0341806777
123	0.03412453932
124	0.03401732711
125	0.03362497057
126	0.03334735246
127	0.033265219
128	0.03320430814
129	0.03296679538
130	0.03289085922
131	0.03271806225
132	0.03266673862
133	0.0321634433
134	0.03211356919
135	0.03160125715
136	0.03153366222
137	0.03123313949
138	0.03117335287
139	0.03113042463
140	0.03082604748
141	0.03070301351
142	0.03061918114
143	0.03053011523
144	0.03047669196
145	0.03041207282
146	0.03033842564
147	0.0302875701
148	0.03004628966
149	0.02959576085
150	0.02941063336
151	0.02933490399
152	0.0292914136
153	0.02914209521
154	0.02907279838
155	0.0290289217
156	0.02896822426
157	0.02892877006
